nohup: ignoring input
will save to logs/2022-06-09_20:26:30.ckpt

train E000:   0% 0/328 [00:00<?, ?it/s]
train E000:   0% 0/328 [00:10<?, ?it/s, acc=0.0000, loss=3.5480]
train E000:   0% 1/328 [00:10<55:36, 10.20s/it, acc=0.0000, loss=3.5480]
train E000:   0% 1/328 [00:10<55:36, 10.20s/it, acc=0.0000, loss=3.5475]
train E000:   1% 2/328 [00:10<23:35,  4.34s/it, acc=0.0000, loss=3.5475]
train E000:   1% 2/328 [00:10<23:35,  4.34s/it, acc=0.0151, loss=3.5486]
train E000:   1% 3/328 [00:10<13:18,  2.46s/it, acc=0.0151, loss=3.5486]
train E000:   1% 3/328 [00:10<13:18,  2.46s/it, acc=0.0285, loss=3.5480]
train E000:   1% 4/328 [00:10<08:27,  1.57s/it, acc=0.0285, loss=3.5480]
train E000:   1% 4/328 [00:11<08:27,  1.57s/it, acc=0.0298, loss=3.5481]
train E000:   2% 5/328 [00:11<05:48,  1.08s/it, acc=0.0298, loss=3.5481]
train E000:   2% 5/328 [00:11<05:48,  1.08s/it, acc=0.0157, loss=3.5455]
train E000:   2% 6/328 [00:11<04:13,  1.27it/s, acc=0.0157, loss=3.5455]
train E000:   2% 6/328 [00:11<04:13,  1.27it/s, acc=0.0082, loss=3.5440]
train E000:   2% 7/328 [00:11<03:12,  1.67it/s, acc=0.0082, loss=3.5440]
train E000:   2% 7/328 [00:11<03:12,  1.67it/s, acc=0.0043, loss=3.5416]
train E000:   2% 8/328 [00:11<02:32,  2.10it/s, acc=0.0043, loss=3.5416]
train E000:   2% 8/328 [00:11<02:32,  2.10it/s, acc=0.0023, loss=3.5404]
train E000:   3% 9/328 [00:11<02:04,  2.56it/s, acc=0.0023, loss=3.5404]
train E000:   3% 9/328 [00:12<02:04,  2.56it/s, acc=0.0012, loss=3.5406]
train E000:   3% 10/328 [00:12<01:46,  2.99it/s, acc=0.0012, loss=3.5406]
train E000:   3% 10/328 [00:12<01:46,  2.99it/s, acc=0.0006, loss=3.5416]
train E000:   3% 11/328 [00:12<01:31,  3.45it/s, acc=0.0006, loss=3.5416]
train E000:   3% 11/328 [00:12<01:31,  3.45it/s, acc=0.0003, loss=3.5423]
train E000:   4% 12/328 [00:12<01:22,  3.85it/s, acc=0.0003, loss=3.5423]
train E000:   4% 12/328 [00:12<01:22,  3.85it/s, acc=0.0002, loss=3.5420]
train E000:   4% 13/328 [00:12<01:16,  4.11it/s, acc=0.0002, loss=3.5420]
train E000:   4% 13/328 [00:12<01:16,  4.11it/s, acc=0.0048, loss=3.5399]
train E000:   4% 14/328 [00:12<01:12,  4.33it/s, acc=0.0048, loss=3.5399]
train E000:   4% 14/328 [00:13<01:12,  4.33it/s, acc=0.0025, loss=3.5403]
train E000:   5% 15/328 [00:13<01:08,  4.57it/s, acc=0.0025, loss=3.5403]
train E000:   5% 15/328 [00:13<01:08,  4.57it/s, acc=0.0013, loss=3.5411]
train E000:   5% 16/328 [00:13<01:05,  4.74it/s, acc=0.0013, loss=3.5411]
train E000:   5% 16/328 [00:13<01:05,  4.74it/s, acc=0.0007, loss=3.5430]
train E000:   5% 17/328 [00:13<01:03,  4.89it/s, acc=0.0007, loss=3.5430]
train E000:   5% 17/328 [00:13<01:03,  4.89it/s, acc=0.0085, loss=3.5423]
train E000:   5% 18/328 [00:13<01:02,  5.00it/s, acc=0.0085, loss=3.5423]
train E000:   5% 18/328 [00:13<01:02,  5.00it/s, acc=0.0044, loss=3.5408]
train E000:   6% 19/328 [00:13<01:00,  5.08it/s, acc=0.0044, loss=3.5408]
train E000:   6% 19/328 [00:14<01:00,  5.08it/s, acc=0.0023, loss=3.5396]
train E000:   6% 20/328 [00:14<01:00,  5.11it/s, acc=0.0023, loss=3.5396]
train E000:   6% 20/328 [00:14<01:00,  5.11it/s, acc=0.0039, loss=3.5391]
train E000:   6% 21/328 [00:14<00:59,  5.15it/s, acc=0.0039, loss=3.5391]
train E000:   6% 21/328 [00:14<00:59,  5.15it/s, acc=0.0050, loss=3.5384]
train E000:   7% 22/328 [00:14<00:58,  5.19it/s, acc=0.0050, loss=3.5384]
train E000:   7% 22/328 [00:14<00:58,  5.19it/s, acc=0.0094, loss=3.5400]
train E000:   7% 23/328 [00:14<00:58,  5.23it/s, acc=0.0094, loss=3.5400]
train E000:   7% 23/328 [00:14<00:58,  5.23it/s, acc=0.0068, loss=3.5401]
train E000:   7% 24/328 [00:14<00:58,  5.22it/s, acc=0.0068, loss=3.5401]
train E000:   7% 24/328 [00:15<00:58,  5.22it/s, acc=0.0100, loss=3.5400]
